assignment,experiment
0,HEPG2-01
0,HEPG2-02
0,HEPG2-03
0,HEPG2-04
1,HEPG2-05
0,HEPG2-06
0,HEPG2-07
3,HEPG2-08
1,HEPG2-09
0,HEPG2-10
0,HEPG2-11
0,RPE-01
0,RPE-02
2,RPE-03
0,RPE-04
0,RPE-05
1,RPE-06
0,RPE-07
1,RPE-08
0,RPE-09
0,RPE-10
0,RPE-11
1,U2OS-01
0,U2OS-02
0,U2OS-03
2,U2OS-04
3,U2OS-05
0,HUVEC-01
0,HUVEC-02
0,HUVEC-03
0,HUVEC-04
0,HUVEC-05
0,HUVEC-06
1,HUVEC-07
0,HUVEC-08
2,HUVEC-09
2,HUVEC-10
1,HUVEC-11
0,HUVEC-12
1,HUVEC-13
1,HUVEC-14
2,HUVEC-15
0,HUVEC-16
0,HUVEC-17
0,HUVEC-18
2,HUVEC-19
2,HUVEC-20
3,HUVEC-21
0,HUVEC-22
0,HUVEC-23
3,HUVEC-24






