p0,p1,p2,p3,class
4,2,3,1,0
1,3,4,2,1
2,4,1,3,2
1,3,4,2,3
3,1,2,4,4
1,3,4,2,5
1,3,4,2,6
2,4,1,3,7
1,3,4,2,8
4,2,3,1,9
1,3,4,2,10
2,4,1,3,11
4,2,3,1,12
4,2,3,1,13
4,2,3,1,14
4,2,3,1,15
4,2,3,1,16
4,2,3,1,17
4,2,3,1,18
2,4,1,3,19
2,4,1,3,20
3,1,2,4,21
2,4,1,3,22
4,2,3,1,23
3,1,2,4,24
2,4,1,3,25
1,3,4,2,26
2,4,1,3,27
2,4,1,3,28
3,1,2,4,29
4,2,3,1,30
4,2,3,1,31
3,1,2,4,32
1,3,4,2,33
3,1,2,4,34
3,1,2,4,35
4,2,3,1,36
4,2,3,1,37
3,1,2,4,38
3,1,2,4,39
1,3,4,2,40
2,4,1,3,41
2,4,1,3,42
2,4,1,3,43
2,4,1,3,44
4,2,3,1,45
1,3,4,2,46
2,4,1,3,47
1,3,4,2,48
3,1,2,4,49
4,2,3,1,50
3,1,2,4,51
2,4,1,3,52
3,1,2,4,53
4,2,3,1,54
1,3,4,2,55
1,3,4,2,56
2,4,1,3,57
4,2,3,1,58
1,3,4,2,59
2,4,1,3,60
2,4,1,3,61
3,1,2,4,62
2,4,1,3,63
2,4,1,3,64
3,1,2,4,65
2,4,1,3,66
4,2,3,1,67
4,2,3,1,68
4,2,3,1,69
1,3,4,2,70
4,2,3,1,71
2,4,1,3,72
4,2,3,1,73
1,3,4,2,74
2,4,1,3,75
3,1,2,4,76
1,3,4,2,77
2,4,1,3,78
4,2,3,1,79
1,3,4,2,80
2,4,1,3,81
4,2,3,1,82
2,4,1,3,83
3,1,2,4,84
4,2,3,1,85
3,1,2,4,86
2,4,1,3,87
1,3,4,2,88
1,3,4,2,89
3,1,2,4,90
1,3,4,2,91
2,4,1,3,92
2,4,1,3,93
1,3,4,2,94
2,4,1,3,95
3,1,2,4,96
4,2,3,1,97
3,1,2,4,98
3,1,2,4,99
2,4,1,3,100
2,4,1,3,101
1,3,4,2,102
4,2,3,1,103
4,2,3,1,104
1,3,4,2,105
4,2,3,1,106
4,2,3,1,107
2,4,1,3,108
1,3,4,2,109
4,2,3,1,110
2,4,1,3,111
1,3,4,2,112
1,3,4,2,113
3,1,2,4,114
3,1,2,4,115
4,2,3,1,116
2,4,1,3,117
2,4,1,3,118
3,1,2,4,119
3,1,2,4,120
3,1,2,4,121
3,1,2,4,122
3,1,2,4,123
1,3,4,2,124
3,1,2,4,125
1,3,4,2,126
3,1,2,4,127
4,2,3,1,128
3,1,2,4,129
2,4,1,3,130
2,4,1,3,131
2,4,1,3,132
1,3,4,2,133
3,1,2,4,134
3,1,2,4,135
1,3,4,2,136
4,2,3,1,137
2,4,1,3,138
4,2,3,1,139
4,2,3,1,140
4,2,3,1,141
3,1,2,4,142
4,2,3,1,143
1,3,4,2,144
3,1,2,4,145
2,4,1,3,146
1,3,4,2,147
3,1,2,4,148
2,4,1,3,149
4,2,3,1,150
3,1,2,4,151
4,2,3,1,152
2,4,1,3,153
4,2,3,1,154
1,3,4,2,155
4,2,3,1,156
1,3,4,2,157
1,3,4,2,158
3,1,2,4,159
2,4,1,3,160
4,2,3,1,161
1,3,4,2,162
3,1,2,4,163
2,4,1,3,164
2,4,1,3,165
2,4,1,3,166
3,1,2,4,167
3,1,2,4,168
2,4,1,3,169
3,1,2,4,170
3,1,2,4,171
1,3,4,2,172
3,1,2,4,173
3,1,2,4,174
2,4,1,3,175
4,2,3,1,176
1,3,4,2,177
2,4,1,3,178
4,2,3,1,179
3,1,2,4,180
1,3,4,2,181
2,4,1,3,182
3,1,2,4,183
3,1,2,4,184
3,1,2,4,185
3,1,2,4,186
4,2,3,1,187
1,3,4,2,188
2,4,1,3,189
3,1,2,4,190
3,1,2,4,191
1,3,4,2,192
4,2,3,1,193
2,4,1,3,194
1,3,4,2,195
2,4,1,3,196
3,1,2,4,197
3,1,2,4,198
4,2,3,1,199
4,2,3,1,200
4,2,3,1,201
4,2,3,1,202
1,3,4,2,203
4,2,3,1,204
4,2,3,1,205
2,4,1,3,206
2,4,1,3,207
4,2,3,1,208
4,2,3,1,209
3,1,2,4,210
1,3,4,2,211
1,3,4,2,212
4,2,3,1,213
3,1,2,4,214
3,1,2,4,215
2,4,1,3,216
1,3,4,2,217
2,4,1,3,218
2,4,1,3,219
4,2,3,1,220
1,3,4,2,221
1,3,4,2,222
4,2,3,1,223
1,3,4,2,224
2,4,1,3,225
4,2,3,1,226
4,2,3,1,227
2,4,1,3,228
3,1,2,4,229
4,2,3,1,230
4,2,3,1,231
