id,attribute_ids,fold
1000483014d91860,147 616 813,8
1000fe2e667721fe,51 616 734 813,1
1001614cb89646ee,776,6
10041eb49b297c08,51 671 698 813 1092,3
100501c227f8beea,13 404 492 903 1093,1
10050ed12fbad46d,189 279 774 800 1051,5
100543a032517972,188 1034,3
1006665c0aad488,1010 1053,8
1007057734dba6df,189 541 542 993,0
1008abd71f3ed5bc,70 776 794 813 1046 1092,9
1008c7837081f985,79 1062,8
1009f5737fc77f2,188 668 754,0
100a0dcde728cb36,51 675,2
100a58282c6584bf,147 716 903 1092,0
100b45b7c4020f5d,161 489 704 1100,1
100bb499d37d0751,188 535,3
100bbf5e832083d3,51 212 426 586 940,9
100d750286e85bf3,13 616,4
100e1e65a6d7850e,737 1009 1046,3
100ef61c00e1b5d3,25 161 784 1059,7
100efeead4d0f90c,189 542 670 813 949 1092,3
100f00204964e81d,147 189 418 742 1072 1092,9
1010af4eeb3f95ee,194 480 483 485 813 1099,5
1012a188a1fd6166,13 813 896,7
1014806043fa009,156 1084,4
1014ac8807369589,103 180 573,7
1014daea6638d09a,147 1039,9
101534933c122e23,25 161 584 616 627 738 868,5
1015ddcd27215ca6,51 212 1059,9
101659003bdb1499,835 1059,0
101690dc24813dc5,51 538 747 813 1012 1092,9
101695e8cefdc9c4,13 813,2
1016dc1b22073bb3,156 543 753 961 1072,4
10175059b2aabb70,13 552,1
101861e383ec9973,13 1013,1
1018a55fce131346,156 228 1054,3
101b61e80e554985,156 274 538 663 1059,6
101bedd1744689b2,51 339 492 961,2
101c55520bafa9f0,13 501 670 871,1
101c8394ff6db02d,13 857,2
101e360e69aeb7b6,194 616 844,3
101e477104fc2bf7,13 668,8
101eb6f95ea25ab0,121 464,8
101f35d791be34cb,189 439 733 813,7
101f3b30264f95bb,615 813 896,7
101f609f4bfff5e6,156 466 616 739 813,4
1020048f6714ed,147 616 1059 1092,1
10217714ab515f45,121,1
10219d8d2441fd3c,18 63 161 331 1062,7
1022d46462792863,131 420 477 671 768,8
10233e987552d468,51 733 813 952,2
1023eaa2b948cff2,13 1056,4
10245fc5f0c1bc53,501 548,9
10246e16d17d9b85,13 978,5
1024cf6962950d3d,114 217 1061,8
10260b5ce69150e3,477 671 738 1059,1
1026fd05a949a6bf,304 465 774,9
1027bc2aeca8e1a8,13 903 1092,7
1027e6c5c8e4c329,51 934,5
1028437b8bc9eeee,147 896 1092,3
10287ba3d06139e0,135 420 477 612 622 738 369,2
102894db9ed6cf3f,189 554 612 663 733 739,7
1029d2328092ea5d,147 671 780 950,2
102a85e0df297631,111 813 1092,7
102b178fae139a12,138 477 671 690 780 1058 369,1
102b312da3240f83,79 568,3
102c9239c03b183,121 448,6
102cb701e5718d70,147 639 1035,0
102ddf2255055175,189 252 573,9
102e0b4fbd90fa5d,335 730 757 1092,0
10301a06071f5dc8,13 744 929 1092,2
10303f46db29089c,13 1092,8
1032b100196dfb0e,99 744,1
1033055830394850,42 156 612 671 780,4
103356cb98f8432d,51 732,5
1033d832fd617e6,189 538 800 810 1092,7
1033e9987c841d5c,133 189 638 671 780 826 1035,3
1035395eac69843a,79 480 483 738 776 1099,7
10357357806fd865,116 161 487,0
1035b7bb16ac6861,79 477 624 886,5
1036067570313a49,79 961 1024,1
1037596d35059b86,121 683 724 813 835 1092,1
1037796180daaf55,13 663,7
103a729425811e95,121 487,6
103ac9a11af50a77,99 304 774,2
103afcfbd66b7564,189 813 949 1092,8
103bbdc2619062b3,684,4
103bdf3269799137,99 718 813,1
103c45a513aa6019,13 698,4
103c9d42f39af074,922,7
103ea6481627ead1,51 483 975,5
10407b0ebada4963,259 422 639 1072,9
10410b3e487c8d13,121 922 955,8
1041f41d8742b7da,1005,8
1042b8fe16eaefb3,335 450 835,9
10430f003935ccc2,304 487,0
10440aa9ac074160,745 1059,7
104468f87dfe4aee,131 813 949 1032 1093,4
10468bea041274a3,552 780,0
10472fb2606a173e,191 780 1034,0
104737e74e765b8b,147 244 554 612,8
104748efce3447d7,156 485 603,8
104862b3c278b4f8,99 558 707 718,1
104869bde5162ef8,189 483 738 975,6
1048e4b13229f27d,438 369,6
104a2a7835758ff8,147 742 744 813 1092,7
104a6def7a03f626,163 464,9
104aa6660ce67379,121 473 1059,1
104ace4388140a92,161 204 754,8
104c4bfd6b5eec32,259 413 434 961,0
104cf95cd0726a22,607 1059,1
104d25babe223640,125 718 961 1092,3
104d4c7a540f3160,147 1092,3
104db9cd6f85f477,147 587 813 1046,9
104f8f58592109b9,131 556 671,4
104fb98e4eb995d,304 511 583,9
1050368940bb298d,121 1059,0
10509f863ee42c3,239 840,8
105248bfa74c8b01,13 405 896 1092,6
1052acf3ce58ad8d,13 693 729 813,1
1052bc4619187ebf,147 283 616,5
1053d5b9411fb370,668 1059,3
10543f59c2488578,189 252 418 528,7
105468f53899f311,172 650 962,7
1055abe56bbddf45,13 555,9
1055d9d6bb38c6c3,156 542 796,8
1055e61cedb6b7c9,282 477 487,7
10567626ccf6a875,13 671 780 925,8
1056caff76d71c22,51 477 821,0
10576007b14c86bc,188 671 1035,6
10584f896b8df034,111 765 968 1092 1093,4
1059ab8ed8210d87,121 962,4
1059ac4f9c6927b7,51 744 813,4
1059f1abf4e51a0,147 744,2
105a349858b25cce,420 626 698 1092,4
105b43585eb70f2b,147 422 429 542 1072,3
105b6c58db321045,121 1035,2
105c132184cb8cc5,259 737 1041,9
105d30f0ea817ab7,131 746 1059,8
105d4e090ef5f0df,147 468 570 813 1092,0
105da5a14dcb0be,156 835,0
105edd843d50258c,189 520 738 744 835,3
105f044288493432,348 418 542 579 624 796,6
105f7710cbca36ca,182 922,3
105fd7f1d727f27e,313 558,6
10601eb2e488d47a,194 744 813,3
10602ff85a021d75,13 405 477 903 1092,5
1060d1d2c5dcbbb1,289 587,8
1060e7d52f2553c6,188 485 813 1099,1
1061c7940c7bc80d,51 480 519 734 813 1092,3
106262d2fca631ca,105 111 671 1062,0
106435dcb8cac360,156 565 663 725 800 1046,2
